epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1681,0.99088,4.58863,1.4534,0.19706,0.58333,0.23235,0.17911,0.50143,5.02279,1.30363,0.00012,0.00012,0.00012
2,54.1564,0.51914,2.603,1.12113,0.99572,1,0.995,0.89673,0.48968,3.15252,1.22367,0.00025571,0.00025571,0.00025571
3,61.9024,0.31176,1.08939,0.95232,0.99528,1,0.995,0.8991,0.5099,2.89242,1.49268,0.0003868,0.0003868,0.0003868
4,67.3736,0.30863,0.72501,0.96522,0.99489,1,0.995,0.84478,0.59024,1.99425,1.5483,0.00051327,0.00051327,0.00051327
5,73.867,0.32347,0.57671,0.95892,0.99095,1,0.995,0.78665,0.73441,2.26345,1.69229,0.00063512,0.00063512,0.00063512
6,77.8888,0.32502,0.48302,0.95477,0.96086,1,0.995,0.49061,1.86133,4.02579,2.73041,0.00075235,0.00075235,0.00075235
7,83.4956,0.36285,0.41998,0.98896,0.97798,1,0.995,0.89646,0.61877,1.94834,1.60851,0.00086496,0.00086496,0.00086496
8,87.6148,0.34252,0.39039,0.95358,1,0.99446,0.995,0.86145,0.52192,1.25274,1.38853,0.00097295,0.00097295,0.00097295
9,91.7047,0.3497,0.38002,0.95065,0.62866,0.84715,0.90244,0.8734,0.385,1.24645,1.12717,0.00107632,0.00107632,0.00107632
10,96.7908,0.34996,0.37274,0.97326,0.89046,0.91667,0.97233,0.56136,1.56783,1.4506,3.24222,0.00117507,0.00117507,0.00117507
11,101.057,0.33822,0.39495,0.95834,0.69305,0.83333,0.89116,0.31578,1.65741,2.31156,3.02039,0.0012692,0.0012692,0.0012692
12,105.386,0.35456,0.41206,0.96798,0.60643,0.91667,0.9236,0.59835,0.98018,4.04714,1.68507,0.00135871,0.00135871,0.00135871
13,110.291,0.35915,0.3572,0.96081,0.68374,1,0.995,0.62561,1.20895,3.31664,3.08847,0.0014436,0.0014436,0.0014436
14,114.131,0.33878,0.35472,0.96688,0.02387,0.08333,0.00985,0.00272,2.8995,6.71807,3.38763,0.00152387,0.00152387,0.00152387
15,118.345,0.31895,0.33707,0.95996,0.78392,1,0.995,0.81336,0.68834,2.86848,1.5687,0.001538,0.001538,0.001538
16,123.33,0.29742,0.33222,0.92457,0.31841,0.66667,0.61296,0.1536,2.89161,5.37331,5.85513,0.001505,0.001505,0.001505
17,127,0.33431,0.37217,0.95034,0.72082,1,0.995,0.91552,0.51044,1.65598,1.30145,0.001472,0.001472,0.001472
18,131.006,0.35439,0.36211,0.99879,0.68514,1,0.98885,0.76302,1.09612,2.3217,2.65152,0.001439,0.001439,0.001439
19,136.29,0.32668,0.33765,0.95188,0.56343,1,0.89482,0.80345,0.59449,2.29974,1.26438,0.001406,0.001406,0.001406
20,140.698,0.31516,0.29612,0.93467,0.98512,1,0.995,0.95404,0.31888,0.62956,1.04459,0.001373,0.001373,0.001373
21,144.968,0.27799,0.32271,0.93985,0.98778,1,0.995,0.93548,0.33908,0.51264,1.04662,0.00134,0.00134,0.00134
22,150.347,0.25822,0.27573,0.92993,0.96063,1,0.995,0.9405,0.36667,0.84069,1.08406,0.001307,0.001307,0.001307
23,153.998,0.25096,0.28012,0.92958,0.66773,1,0.95929,0.89204,0.43062,1.321,1.13873,0.001274,0.001274,0.001274
24,157.946,0.25711,0.27179,0.90738,0.89036,1,0.995,0.97084,0.284,0.50654,0.97406,0.001241,0.001241,0.001241
25,162.976,0.26101,0.30171,0.91632,0.97382,1,0.995,0.97507,0.34382,0.35903,1.03245,0.001208,0.001208,0.001208
26,167.352,0.26429,0.26572,0.91757,0.99439,1,0.995,0.91449,0.33329,0.30781,1.0734,0.001175,0.001175,0.001175
27,171.396,0.25681,0.27604,0.91642,0.85436,1,0.995,0.9567,0.25265,0.44136,0.95594,0.001142,0.001142,0.001142
28,176.587,0.24059,0.25371,0.90617,0.57183,0.91667,0.78895,0.54454,0.71851,3.18466,1.18255,0.001109,0.001109,0.001109
29,180.441,0.21655,0.22559,0.90513,0.54259,1,0.91784,0.73885,0.64149,2.11901,1.30921,0.001076,0.001076,0.001076
30,184.35,0.2293,0.24605,0.91408,0.99572,1,0.995,0.94739,0.3446,0.43639,1.07812,0.001043,0.001043,0.001043
31,189.286,0.21024,0.23825,0.90812,0.99561,1,0.995,0.97407,0.24389,0.31609,0.9469,0.00101,0.00101,0.00101
32,193.68,0.20419,0.223,0.90115,0.99587,1,0.995,0.98528,0.29084,0.2369,1.01505,0.000977,0.000977,0.000977
33,198.213,0.20708,0.21411,0.90115,0.99595,1,0.995,0.9481,0.28412,0.2257,1.03898,0.000944,0.000944,0.000944
34,203.272,0.19931,0.22305,0.90143,0.99587,1,0.995,0.98409,0.20097,0.22742,0.91848,0.000911,0.000911,0.000911
35,207.138,0.19212,0.20479,0.89708,0.99566,1,0.995,0.995,0.16912,0.19723,0.89944,0.000878,0.000878,0.000878
